,,,
Index of stool samples used to determing limit of blanks,,,
,,,
RNA sample ID,Stool preservative and replicate number,Operator and replicate number,Subject study ID
OG1_ER1_H1,OG1,ER1,H1
OG1_ER1_H2,OG1,ER1,H2
OG1_ER1_H3,OG1,ER1,H3
OG1_ER1_H4,OG1,ER1,H4
OG1_ER1_H5,OG1,ER1,H5
OG1_ER1_H6,OG1,ER1,H6
OG1_ER1_H7,OG1,ER1,H7
OG1_ER2_H1,OG1,ER2,H1
OG1_ER2_H2,OG1,ER2,H2
OG1_ER2_H3,OG1,ER2,H3
OG1_ER2_H4,OG1,ER2,H4
OG1_ER2_H5,OG1,ER2,H5
OG1_ER2_H6,OG1,ER2,H6
OG1_ER2_H7,OG1,ER2,H7
OG1_SR1_H1,OG1,SR1,H1
OG1_SR1_H2,OG1,SR1,H2
OG1_SR1_H3,OG1,SR1,H3
OG1_SR1_H4,OG1,SR1,H4
OG1_SR1_H5,OG1,SR1,H5
OG1_SR1_H6,OG1,SR1,H6
OG1_SR1_H7,OG1,SR1,H7
OG1_SR2_H1,OG1,SR2,H1
OG1_SR2_H2,OG1,SR2,H2
OG1_SR2_H3,OG1,SR2,H3
OG1_SR2_H4,OG1,SR2,H4
OG1_SR2_H5,OG1,SR2,H5
OG1_SR2_H6,OG1,SR2,H6
OG1_SR2_H7,OG1,SR2,H7
OG2_ER1_H1,OG2,ER1,H1
OG2_ER1_H2,OG2,ER1,H2
OG2_ER1_H3,OG2,ER1,H3
OG2_ER1_H4,OG2,ER1,H4
OG2_ER1_H5,OG2,ER1,H5
OG2_ER1_H6,OG2,ER1,H6
OG2_ER1_H7,OG2,ER1,H7
OG2_ER2_H1,OG2,ER2,H1
OG2_ER2_H2,OG2,ER2,H2
OG2_ER2_H3,OG2,ER2,H3
OG2_ER2_H4,OG2,ER2,H4
OG2_ER2_H5,OG2,ER2,H5
OG2_ER2_H6,OG2,ER2,H6
OG2_ER2_H7,OG2,ER2,H7
OG2_SR1_H1,OG2,SR1,H1
OG2_SR1_H2,OG2,SR1,H2
OG2_SR1_H3,OG2,SR1,H3
OG2_SR1_H4,OG2,SR1,H4
OG2_SR1_H5,OG2,SR1,H5
OG2_SR1_H6,OG2,SR1,H6
OG2_SR1_H7,OG2,SR1,H7
OG2_SR2_H1,OG2,SR2,H1
OG2_SR2_H2,OG2,SR2,H2
OG2_SR2_H3,OG2,SR2,H3
OG2_SR2_H4,OG2,SR2,H4
OG2_SR2_H5,OG2,SR2,H5
OG2_SR2_H6,OG2,SR2,H6
OG2_SR2_H7,OG2,SR2,H7
ZY1_ER1_H1,ZY1,ER1,H1
ZY1_ER1_H2,ZY1,ER1,H2
ZY1_ER1_H3,ZY1,ER1,H3
ZY1_ER1_H4,ZY1,ER1,H4
ZY1_ER1_H5,ZY1,ER1,H5
ZY1_ER1_H6,ZY1,ER1,H6
ZY1_ER1_H7,ZY1,ER1,H7
ZY1_ER2_H1,ZY1,ER2,H1
ZY1_ER2_H2,ZY1,ER2,H2
ZY1_ER2_H3,ZY1,ER2,H3
ZY1_ER2_H4,ZY1,ER2,H4
ZY1_ER2_H5,ZY1,ER2,H5
ZY1_ER2_H6,ZY1,ER2,H6
ZY1_ER2_H7,ZY1,ER2,H7
ZY1_SR1_H1,ZY1,SR1,H1
ZY1_SR1_H2,ZY1,SR1,H2
ZY1_SR1_H3,ZY1,SR1,H3
ZY1_SR1_H4,ZY1,SR1,H4
ZY1_SR1_H5,ZY1,SR1,H5
ZY1_SR1_H6,ZY1,SR1,H6
ZY1_SR1_H7,ZY1,SR1,H7
ZY1_SR2_H1,ZY1,SR2,H1
ZY1_SR2_H2,ZY1,SR2,H2
ZY1_SR2_H3,ZY1,SR2,H3
ZY1_SR2_H4,ZY1,SR2,H4
ZY1_SR2_H5,ZY1,SR2,H5
ZY1_SR2_H6,ZY1,SR2,H6
ZY1_SR2_H7,ZY1,SR2,H7
ZY2_ER1_H1,ZY2,ER1,H1
ZY2_ER1_H2,ZY2,ER1,H2
ZY2_ER1_H3,ZY2,ER1,H3
ZY2_ER1_H4,ZY2,ER1,H4
ZY2_ER1_H5,ZY2,ER1,H5
ZY2_ER1_H6,ZY2,ER1,H6
ZY2_ER1_H7,ZY2,ER1,H7
ZY2_ER2_H1,ZY2,ER2,H1
ZY2_ER2_H2,ZY2,ER2,H2
ZY2_ER2_H3,ZY2,ER2,H3
ZY2_ER2_H4,ZY2,ER2,H4
ZY2_ER2_H5,ZY2,ER2,H5
ZY2_ER2_H6,ZY2,ER2,H6
ZY2_ER2_H7,ZY2,ER2,H7
ZY2_SR1_H1,ZY2,SR1,H1
ZY2_SR1_H2,ZY2,SR1,H2
ZY2_SR1_H3,ZY2,SR1,H3
ZY2_SR1_H4,ZY2,SR1,H4
ZY2_SR1_H5,ZY2,SR1,H5
ZY2_SR1_H6,ZY2,SR1,H6
ZY2_SR1_H7,ZY2,SR1,H7
ZY2_SR2_H1,ZY2,SR2,H1
ZY2_SR2_H2,ZY2,SR2,H2
ZY2_SR2_H3,ZY2,SR2,H3
ZY2_SR2_H4,ZY2,SR2,H4
ZY2_SR2_H5,ZY2,SR2,H5
ZY2_SR2_H6,ZY2,SR2,H6
ZY2_SR2_H7,ZY2,SR2,H7